"This quote is sponsored by Raid Shadow Legends."|| - Sun Tzu, The Art of Raid Shadow Legends
“In the midst of chaos, there is also opportunity.”|| - Sun Tzu, The Art of War
“Treat your men as you would your own beloved sons, and they will follow you into the deepest valley.”|| - Sun Tzu, The Art of War
“So in war, the way is to avoid what is strong, and strike at what is weak.”|| - Sun Tzu, The Art of War
“Let your plans be dark and impenetrable as night, and when you move, fall like a thunderbolt.”|| - Sun Tzu, The Art of War
“Victorious warriors win first and then go to war, while defeated warriors go to war first and then seek to win.”|| - Sun Tzu, The Art of War
“Engage people with what they expect; it is what they are able to discern and confirm their projections. It settles them into predictable patterns of response, occupying their minds while you wait for the extraordinary moment, that which they cannot anticipate.”|| - Sun Tzu, The Art of War
“The art of war is of vital importance to the state. It is a matter of life and death—a road either to safety or to ruin. Hence, it is a subject of inquiry which can on no account be neglected.”|| - Sun Tzu, The Art of War
“Appear weak when you are strong, and strong when you are weak.”|| - Sun Tzu, The Art of War
“Supreme excellence consists of breaking the enemy’s resistance without fighting.”|| - Sun Tzu, The Art of War
“If you know the enemy and know yourself, you need not fear the result of a hundred battles. If you know yourself but not the enemy, for every victory gained you will also suffer a defeat. If you know neither the enemy nor yourself, you will succumb in every battle.”|| - Sun Tzu, The Art of War
“There is no instance of a nation benefiting from prolonged warfare.”|| - Sun Tzu, The Art of War
“When we are able to attack, we must seem unable; when using our forces, we must appear inactive; when we are near, we must make the enemy believe we are far away; when far away, we must make him believe we are near.”|| - Sun Tzu, The Art of War
“Move swift as the wind and closely-formed as wood. Attack like fire and be still as the mountain.”|| - Sun Tzu, The Art of War
“When the enemy is relaxed, make them toil. When full, starve them. When settled, make them move.”|| - Sun Tzu, The Art of War
“The greatest victory is that which requires no battle.”|| - Sun Tzu, The Art of War
“If your enemy is secure at all points, be prepared for him. If he is in superior strength, evade him. If your opponent is temperamental, seek to irritate him. Pretend to be weak, that he may grow arrogant. If he is taking his ease, give him no rest. If his forces are united, separate them. If sovereign and subject are in accord, put division between them.”|| - Sun Tzu, The Art of War
“When you surround an army, leave an outlet free. Do not press a desperate foe too hard.”|| - Sun Tzu, The Art of War
“Danger has a bracing effect.”|| - Sun Tzu, The Art of War
“Hold out baits to entice the enemy. Feign disorder, and crush him.”|| - Sun Tzu, The Art of War
“Be extremely subtle even to the point of formlessness. Be extremely mysterious even to the point of soundlessness. Thereby, you can be the director of the opponent’s fate.”|| - Sun Tzu, The Art of War
“The wise warrior avoids the battle.”|| - Sun Tzu, The Art of War
“The whole secret lies in confusing the enemy, so that he cannot fathom our real intent.”|| - Sun Tzu, The Art of War
“Attack is the secret of defense; defense is the planning of an attack.”|| - Sun Tzu, The Art of War
“Attack him where he is unprepared, appear where you are not expected.”|| - Sun Tzu, The Art of War
“Mystify, mislead, and surprise the enemy.”|| - Sun Tzu, The Art of War
“When your army has crossed the border, you should burn your boats and bridges in order to make it clear to everybody that you have no hankering after home.”|| - Sun Tzu, The Art of War
“Plan for what is difficult while it is easy, do what is great while it is small.”|| - Sun Tzu, The Art of War
“Do not swallow bait offered by the enemy. Do not interfere with an army that is returning home.”|| - Sun Tzu, The Art of War
“One may know the condition of a whole army from the behavior of a single man.”|| - Sun Tzu, The Art of War
“Strong action is training the body without being burdened by the body, exercising the mind without being used by the mind, working in the world without being affected by the world, carrying out tasks without being obstructed by tasks.”|| - Sun Tzu, The Art of War
“The spot where we intend to fight must not be made known; for then the enemy will have to prepare against a possible attack at several different points.”|| - Sun Tzu, The Art of War
“By reinforcing every part, he weakens every part.”|| - Sun Tzu, The Art of War
“All men can see the tactics whereby I conquer, but what none can see is the strategy out of which victory is evolved.”|| - Sun Tzu, The Art of War
“If we wish to wrest an advantage from the enemy, we must not fix our minds on that alone, but allow for the possibility of the enemy also doing some harm to us, and let this enter as a factor into our calculations.”|| - Sun Tzu, The Art of War
